Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
1/1/2000 Sat.,01:34:13,6.27,98.00,0.61,27.39,1001.91,17.75,1729.28,94.84,1077,233,38,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:34:14,6.32,82.40,0.52,27.36,1001.91,17.73,1721.47,95.01,1107,245,38,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:34:15,6.32,87.70,0.55,27.37,1001.89,17.75,1730.40,95.01,1107,245,38,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:34:16,6.27,99.80,0.63,27.39,1001.91,17.75,1719.25,94.84,1107,245,38,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:34:16,6.31,87.00,0.55,27.36,1001.91,17.75,1715.94,95.01,1047,233,33,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:34:17,6.31,76.30,0.48,27.37,1001.91,17.75,1712.64,94.84,1047,233,33,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:34:18,6.27,106.40,0.67,27.39,1001.91,17.75,1708.25,94.84,1047,233,33,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:34:19,6.32,87.30,0.55,27.36,1001.93,17.74,1708.25,94.84,1074,238,33,3,1,1,4,7,8,29.17,7.41
1/1/2000 Sat.,01:34:20,6.31,80.30,0.51,27.37,1001.91,17.74,1708.25,94.84,1074,238,33,3,1,1,4,7,8,29.17,7.41
1/1/2000 Sat.,01:34:21,6.28,106.20,0.67,27.39,1001.91,17.75,1711.54,94.84,1074,238,33,3,1,1,4,7,8,29.17,7.41
1/1/2000 Sat.,01:34:22,6.31,79.80,0.50,27.35,1001.93,17.74,1695.24,94.84,1020,216,31,3,1,1,3,5,7,20.83,6.48
1/1/2000 Sat.,01:34:22,6.31,84.30,0.53,27.36,1001.93,17.74,1690.94,94.84,1020,216,31,3,1,1,3,5,7,20.83,6.48
1/1/2000 Sat.,01:34:23,6.28,105.90,0.67,27.37,1001.93,17.73,1680.30,95.01,1020,216,31,3,1,1,3,5,7,20.83,6.48
1/1/2000 Sat.,01:34:24,6.31,78.80,0.50,27.35,1001.91,17.73,1667.71,95.01,1005,214,41,4,1,1,3,7,8,29.17,7.41
1/1/2000 Sat.,01:34:25,6.31,87.80,0.55,27.35,1001.93,17.73,1654.28,95.01,1005,214,41,4,1,1,3,7,8,29.17,7.41
1/1/2000 Sat.,01:34:26,6.27,102.50,0.64,27.37,1001.91,17.74,1643.08,94.84,1005,214,41,4,1,1,3,7,8,29.17,7.41
